id|gender|age|height|edu|salary|nation|car|house|body|face|hair|smoke|drink|child|parent|bmi|where2|where0|where1|marriage0|marriage1|look0|look1|class
3829796|M|34|167|3|0.0|1|-1|0|1.0|0|5.0|1|1|1|0|31.0|0|0|0|0|0|0|0|4
26884062|M|30|163|2|0.0|1|-1|0|0.0|0|5.0|1|1|1|1|-1.0|2|0|1|1|0|1|0|1
27629243|M|31|163|1|0.0|0|0|0|0.0|0|0.0|0|0|0|0|-1.0|1|0|1|1|0|0|0|3
10685936|M|33|157|3|0.0|1|-1|0|0.0|0|2.0|1|1|1|0|22.0|3|0|-1|0|0|0|1|2
3374136|M|33|162|2|0.0|1|-1|0|0.0|0|0.0|0|0|0|0|25.0|3|-1|-1|0|0|0|0|3
60281158|M|21|170|2|-1.0|1|-1|0|-1.0|1|2.0|1|0|0|0|25.5|1|-1|-1|0|0|1|1|1
17702915|M|36|157|1|0.0|1|-1|1|0.0|0|5.0|1|0|0|0|25.0|1|0|-1|1|0|1|1|0
3947597|M|38|155|2|-1.0|1|-1|0|0.0|0|5.0|0|0|0|0|24.5|0|0|0|1|0|0|0|4
1751573|M|30|170|3|0.0|1|-1|0|0.0|0|0.0|0|0|0|0|27.5|0|0|0|0|0|0|0|3
4994468|M|33|165|2|1.0|0|-1|0|0.0|0|5.0|1|-1|1|0|26.0|0|0|0|0|0|0|0|4
3021220|M|35|165|3|0.0|1|-1|0|0.0|0|0.0|0|0|0|0|27.5|3|1|1|0|0|0|0|3
2274872|M|29|165|2|0.0|1|-1|0|-1.0|1|5.0|3|0|1|1|23.5|4|0|-1|0|0|0|0|2
29873565|M|27|154|2|0.0|1|1|0|0.0|0|2.0|3|-1|1|1|26.0|0|0|0|0|0|0|0|4
66367316|M|26|160|2|1.0|1|-1|0|0.0|0|5.0|3|1|1|1|22.5|4|0|-1|0|0|1|0|2
27151835|M|27|168|3|-1.0|1|0|0|0.0|1|3.0|0|0|1|0|-1.0|2|1|0|0|0|0|0|1
36462642|M|28|157|2|-1.0|1|-1|0|-1.0|0|2.0|1|0|1|1|23.0|1|0|-1|0|0|0|0|2
4068224|M|51|161|3|-1.0|1|-1|0|0.0|0|3.0|1|1|0|1|26.5|1|-1|1|1|1|0|0|0
20054165|M|25|166|2|0.0|1|-1|0|0.0|0|3.0|1|1|1|1|-1.0|2|1|0|0|0|0|0|4
4657097|M|34|160|2|0.0|1|-1|0|-1.0|0|5.0|3|1|1|0|23.0|3|1|0|0|0|0|0|4
4167567|M|38|158|3|-1.0|1|-1|1|0.0|0|0.0|1|0|0|0|26.0|1|-1|-1|1|1|0|0|0
23806853|M|29|169|2|0.0|1|-1|0|1.0|0|3.0|1|0|1|1|37.5|3|1|0|0|0|0|0|4
3364290|M|30|165|2|0.0|1|-1|0|0.0|0|5.0|1|1|1|0|26.5|2|1|0|0|0|1|0|1
53339421|M|26|170|3|0.0|0|0|0|-1.0|1|5.0|3|1|1|0|25.5|3|1|0|0|0|0|0|1
3937091|M|31|158|3|1.0|1|-1|1|-1.0|0|5.0|1|-1|1|0|20.5|4|0|-1|0|0|0|0|2
2799932|M|32|171|3|-1.0|1|-1|1|-1.0|1|5.0|-4|-1|0|-1|25.0|0|0|0|0|0|0|0|3
11860454|M|37|162|2|0.0|1|-1|0|-1.0|0|0.0|1|1|0|0|25.0|3|1|1|0|0|0|0|3
3169001|M|42|158|2|-1.0|1|-1|0|-1.0|0|5.0|1|-1|0|0|23.0|3|1|0|1|0|1|0|1
5110844|M|29|170|3|1.0|1|1|0|-1.0|0|5.0|3|-1|1|0|28.0|3|0|1|0|0|0|1|4
59172990|M|25|160|2|0.0|1|-1|0|-1.0|0|5.0|1|1|1|0|22.5|2|1|0|0|0|0|0|4
3386828|M|42|157|2|-1.0|1|-1|1|0.0|0|5.0|1|1|-1|-1|27.5|3|0|1|1|1|0|1|0
2285152|M|34|163|5|1.0|1|-1|0|0.0|0|5.0|3|1|1|0|27.5|0|0|0|0|0|1|0|1
1880226|M|28|156|3|-1.0|1|-1|0|0.0|0|0.0|0|0|0|0|22.5|1|-1|-1|0|0|0|0|3
1797963|M|31|163|3|0.0|1|-1|0|0.0|0|0.0|0|0|0|0|26.5|4|0|-1|0|0|0|0|3
3370581|M|42|165|2|1.0|1|-1|1|1.0|0|0.0|0|0|0|0|26.5|0|0|0|0|0|0|0|3
13560245|M|27|160|1|-1.0|1|-1|0|0.0|0|0.0|3|1|0|0|27.0|1|0|1|0|0|0|0|4
3384952|M|31|165|3|-1.0|1|-1|1|1.0|0|0.0|0|0|0|0|30.0|3|0|0|0|0|0|0|3
2647158|M|33|165|3|-1.0|1|0|0|0.0|0|0.0|0|0|0|0|-1.0|0|0|0|0|0|0|0|3
14135047|M|31|163|3|-1.0|1|-1|0|2.0|0|3.0|1|1|1|0|28.0|2|0|1|0|0|0|1|4
27405014|M|25|158|3|-1.0|1|-1|1|-1.0|0|5.0|3|0|0|1|-1.0|1|-1|1|0|0|0|0|4
1547744|M|32|168|2|-1.0|1|-1|0|1.0|0|5.0|3|0|0|0|31.5|3|1|1|0|0|0|1|4
25194842|M|42|163|2|-1.0|1|0|0|0.0|0|5.0|1|1|-1|0|-1.0|1|-1|-1|1|1|1|1|0
12316207|M|33|160|2|0.0|1|-1|0|0.0|0|5.0|1|-1|1|0|28.0|2|-1|1|0|0|0|1|4
2076901|M|34|165|4|0.0|1|-1|0|0.0|0|0.0|0|0|0|0|26.5|3|-1|1|0|0|0|0|3
35272207|M|23|158|1|-1.0|1|-1|0|1.0|0|5.0|1|-1|1|-1|25.0|1|-1|1|0|0|0|0|4
55858131|M|23|160|2|1.0|0|-1|0|0.0|0|0.0|-1|0|1|0|-1.0|3|-1|-1|0|0|1|1|2
1437028|M|30|170|2|-1.0|1|-1|0|1.0|0|0.0|0|0|0|0|31.0|0|0|0|0|0|0|0|3
3971741|M|29|170|2|0.0|1|-1|0|-1.0|0|0.0|1|0|0|1|25.0|3|1|1|0|0|0|0|3
32784593|M|24|160|2|-1.0|1|-1|0|-1.0|0|5.0|1|0|1|1|21.5|3|1|0|0|0|0|0|4
83559062|M|36|160|3|0.0|1|-1|0|1.0|0|5.0|0|1|1|-1|30.0|4|0|-1|1|0|0|1|2
31214301|M|24|160|1|-1.0|0|0|0|0.0|0|2.0|1|0|1|0|-1.0|0|0|0|0|0|0|0|3
16877909|M|27|160|2|0.0|1|-1|0|1.0|0|2.0|1|1|0|-1|29.0|3|-1|1|0|0|0|0|4
4150686|M|31|164|2|0.0|1|-1|0|0.0|0|5.0|0|-1|0|0|27.0|2|-1|1|0|0|0|0|4
14430745|M|30|157|2|-1.0|1|-1|0|0.0|0|2.0|1|0|1|1|22.5|3|0|0|0|0|0|0|4
