id|gender|age|where|height|edu|marriage|salary|nation|job|car|house|look|body|face|hair|weight|smoke|drink|child|parent|bmi
1313957|M|1.0|0,0,0|2.0|2|1,0|1|1|房地产/装修/物业|-1|0|NA|0|1|5|2.0|3|-1|0|0|2.0
41364455|M|-1.0|0,0,0|-1.0|3|0,0|-1|1|教育/培训|1|0|0,0|0|NA|其它||1|1|1|-1|-1.0
12930256|M|2.0|0,0,0|-1.0|2|0,0|-1|1|其他|-1|1|NA|1|0|5|2.0|1|1|-1|1|2.0
2201174|M|2.0|0,0,0|0.0|2|0,0|0|1|其他|-1|0|NA|0|NA|NA|1.0|NA|NA|NA|NA|1.0
18116883|M|1.0|0,0,0|-1.0|1|1,1|-1|1|销售|-1|0|1,0|-1|0|5|1.0|1|1|0|1|1.0
27854597|M|0.0|0,0,0|-1.0|1|0,0|0|1|财会/审计/统计|-1|0|0,0|0|0|5|2.0|1|0|1|0|2.0
2997830|M|1.0|0,0,0|-1.0|2|0,0|-1|1|财会/审计/统计|-1|0|NA|0|NA|NA|0.0|NA|NA|NA|NA|0.0
12584752|M|0.0|0,0,0|0.0|1|0,0|-1|1|市场拓展|NA|0|NA|2|NA|5|1.0|1|0|1|1|1.0
3487966|M|1.0|0,0,0|1.0|3|0,0|-1|1|其他|NA|0|NA|0|NA|NA|0.0|NA|NA|1|NA|0.0
1378780|M|1.0|0,0,0|2.0|3|0,0|0|1|教育/培训|-1|0|0,1|-1|NA|NA|1.0|NA|NA|NA|NA|1.0
11733898|M|0.0|0,0,0|0.0|3|0,0|0|1|金融/证券/投资/保险|-1|0|0,0|1|NA|5||3|1|1|1|-1.0
2543916|M|0.0|0,0,0|1.0|2|0,0|-1|1|采购/贸易|-1|0|NA|-1|0|5|2.0|1|0|1|1|2.0
14543529|M|-1.0|0,0,0|-1.0|2|0,0|0|1|教育/培训|-1|1|NA|NA|NA|NA||NA|NA|NA|1|-1.0
60745658|M|-1.0|0,0,0|-1.0|2|0,0|0|1|其他|-1|0|0,0|-1|0|3|-1.0|-1|0|0|0|-1.0
21847617|M|2.0|0,0,0|-1.0|2|0,0|0|1|自由职业者|-1|0|NA|0|0|5|1.0|1|0|1|1|1.0
28648265|M|-1.0|0,0,0|2.0|3|0,0|0|1|人力资源/行政/后勤|-1|0|0,0|NA|NA|5|2.0|3|0|0|0|2.0
11578933|M|1.0|0,0,0|-1.0|3|0,0|1|0|NA|NA|NA|NA|-1|NA|NA|0.0|NA|NA|NA|NA|0.0
3522290|M|-1.0|0,0,0|-1.0|1|0,0|-1|0|翻译|-1|0|0,0|-1|1|2|-1.0|3|0|1|0|0.0
25290445|M|-1.0|0,0,0|1.0|3|0,0|-1|1|普通服务行业|NA|0|NA|NA|NA|NA||3|-1|NA|NA|-1.0
15927140|M|0.0|0,0,0|2.0|2|0,0|0|1|计算机/互联网/IT|NA|0|1,1|-1|0|3|1.0|NA|NA|1|1|1.0
3683433|M|0.0|0,0,0|1.0|3|0,0|-1|1|NA|-1|0|NA|-1|NA|NA|-1.0|NA|NA|NA|NA|-1.0
9831352|M|1.0|0,0,0|2.0|2|0,0|-1|1|人力资源/行政/后勤|-1|0|0,0|1|0|5||1|0|1|0|-1.0
32857860|M|-1.0|0,0,0|1.0|2|0,0|-1|1|在校学生|NA|0|0,0|-1|0|3|0.0|3|0|1|0|0.0
2842871|M|0.0|0,0,0|-1.0|2|0,0|0|1|私营业主|NA|0|1,0|0|0|5|0.0|NA|1|NA|1|0.0
12575844|M|2.0|0,0,0|1.0|3|0,0|3|1|教育/培训|1|1|0,1|0|0|5|2.0|1|0|0|0|2.0
1213637|M|2.0|0,0,0|1.0|2|1,1|0|1|教育/培训|1|1|1,1|1|0|5|1.0|3|0|0|0|1.0
12153414|M|2.0|0,0,0|0.0|3|0,0|0|1|公务员/国家干部|-1|0|1,0|0|0|5|0.0|3|0|1|0|0.0
20775759|M|2.0|0,0,0|-1.0|3|0,0|1|1|设计/创意|1|0|0,0|1|0|5|0.0|3|1|0|0|0.0
2550485|M|-1.0|0,0,0|2.0|2|0,0|0|1|普通服务行业|-1|0|0,0|0|0|5|2.0|3|1|1|1|2.0
1319153|M|0.0|0,0,0|2.0|2|0,0|-1|1|NA|NA|NA|NA|NA|NA|NA|2.0|NA|NA|NA|NA|-1.0
1985132|M|1.0|0,0,0|1.0|3|0,0|-1|1|教育/培训|-1|0|NA|-1|NA|NA|0.0|NA|NA|NA|NA|0.0
11936789|M|-1.0|0,0,0|-1.0|1|0,0|-1|1|采购/贸易|-1|0|NA|0|0|3|0.0|3|0|1|0|0.0
3598226|M|1.0|0,0,0|-1.0|2|1,0|-1|1|NA|-1|NA|0,1|-1|0|5|-1.0|3|0|1|NA|-1.0
24148695|M|0.0|0,0,0|0.0|3|0,0|0|1|金融/证券/投资/保险|-1|0|1,0|-1|0|5|-1.0|3|0|1|-1|0.0
2330254|M|0.0|0,0,0|-1.0|1|0,0|-1|1|普通服务行业|-1|0|0,0|NA|0|5|2.0|1|1|1|-1|2.0
2209273|M|-1.0|0,0,0|-1.0|3|0,0|0|1|教育/培训|NA|NA|0,0|0|0|5|-1.0|3|1|1|1|-1.0
27508261|M|2.0|0,0,0|-1.0|3|1,1|0|1|医疗/护理|-1|0|0,1|0|0|5||1|1|0|1|-1.0
23735829|M|0.0|0,0,0|2.0|1|1,1|-1|1|NA|-1|0|NA|1|0|5||3|0|0|0|-1.0
4089942|M|1.0|0,0,0|1.0|3|0,0|0|1|人力资源/行政/后勤|-1|0|NA|0|0|5|2.0|1|1|1|NA|2.0
11913215|M|-1.0|0,0,0|2.0|2|0,0|0|1|采购/贸易|-1|0|0,0|0|0|5|1.0|3|1|0|-1|1.0
3312330|M|0.0|0,0,0|2.0|3|0,0|0|1|教育/培训|-1|1|0,1|-1|0|5|1.0|3|1|1|-1|1.0
4076998|M|-1.0|0,0,0|-1.0|3|0,0|-1|0|教育/培训|1|0|0,1|0|0|5|0.0|1|0|1|0|0.0
12594096|M|-1.0|0,0,0|0.0|1|0,0|1|1|销售|-1|0|0,0|-1|0|5|0.0|1|0|1|0|0.0
27685381|M|-1.0|0,0,0|-1.0|1|0,0|-1|1|销售|-1|0|0,0|0|0|5|1.0|-1|0|1|0|1.0
2934377|M|2.0|0,0,0|-1.0|5|0,0|0|1|通信技术|1|0|NA|0|NA|NA|0.0|NA|NA|NA|NA|0.0
29003583|M|0.0|0,0,0|2.0|3|0,0|0|1|金融/证券/投资/保险|NA|NA|NA|-1|NA|5|1.0|3|1|1|0|1.0
3032704|M|0.0|0,0,0|0.0|3|0,0|0|1|采购/贸易|-1|0|1,0|-1|0|5|0.0|3|0|1|0|0.0
21923405|M|0.0|0,0,0|-1.0|2|0,0|0|1|NA|NA|NA|0,0|0|0|3||NA|NA|1|1|-1.0
3361960|M|1.0|0,0,0|-1.0|2|0,0|0|1|私营业主|-1|1|1,1|-1|NA|5|0.0|1|0|1|1|0.0
40730650|M|-1.0|0,0,0|2.0|3|0,0|0|0|NA|NA|NA|NA|NA|NA|NA||NA|NA|NA|NA|-1.0
3236014|M|2.0|0,0,0|1.0|2|0,0|0|1|销售|-1|1|1,1|-1|1|5|0.0|1|-1|-1|-1|0.0
13878002|M|0.0|0,0,0|2.0|2|0,0|-1|1|财会/审计/统计|-1|0|NA|0|NA|3||1|1|1|0|-1.0
18766492|M|2.0|0,0,0|1.0|2|0,0|0|1|财会/审计/统计|-1|1|1,1|1|0|3|2.0|1|1|1|0|2.0
21797243|M|2.0|0,0,0|2.0|2|0,0|0|0|NA|NA|NA|1,1|0|0|5|1.0|3|0|0|0|1.0
13376807|M|-1.0|0,0,0|1.0|2|0,0|-1|1|人力资源/行政/后勤|NA|NA|0,0|NA|NA|5|2.0|3|1|0|NA|2.0
3381685|M|0.0|0,0,0|1.0|2|0,0|1|1|交通/运输|1|0|NA|0|NA|5|1.0|1|0|NA|NA|1.0
2313272|M|2.0|0,0,0|0.0|3|1,0|0|1|其他|-1|NA|NA|0|NA|NA|1.0|NA|NA|NA|NA|1.0
19586235|M|2.0|0,0,0|-1.0|1|1,1|-1|1|化工|-1|1|1,1|1|1|5|1.0|-1|0|0|0|1.0
2233162|M|2.0|0,0,0|1.0|2|0,0|-1|1|财会/审计/统计|-1|0|NA|0|NA|NA|2.0|NA|NA|1|1|2.0
11756132|M|0.0|0,0,0|0.0|1|0,0|-1|1|销售|-1|0|0,1|1|0|5|1.0|3|-1|0|1|1.0
22468605|M|2.0|0,0,0|-1.0|2|0,0|0|0|NA|NA|NA|NA|NA|NA|NA||NA|NA|NA|NA|-1.0
12256697|M|-1.0|0,0,0|2.0|3|0,0|2|1|设计/创意|1|1|1,0|-1|0|5|0.0|3|1|NA|NA|0.0
11873502|M|-1.0|0,0,0|1.0|3|0,0|0|1|自由职业者|1|1|0,1|0|0|3|0.0|-2|-1|1|-1|0.0
1455828|M|2.0|0,0,0|1.0|3|1,0|0|1|其他|-1|0|NA|-1|NA|NA|0.0|NA|NA|NA|NA|0.0
4843256|M|2.0|0,0,0|-1.0|3|1,1|0|1|设计/创意|1|NA|NA|-1|0|3|0.0|1|-1|NA|NA|0.0
3001969|M|-1.0|0,0,0|2.0|2|0,0|0|1|教育/培训|-1|0|0,0|-1|0|2|2.0|3|0|1|0|2.0
4904358|M|-1.0|0,0,0|2.0|2|0,0|0|1|私营业主|-1|0|NA|0|0|5|2.0|1|0|1|-1|2.0
14716889|M|2.0|0,0,0|-1.0|2|0,0|0|1|销售|NA|NA|0,1|0|0|5||3|0|NA|NA|-1.0
2352786|M|0.0|0,0,0|0.0|3|0,0|1|1|房地产/装修/物业|-1|0|0,0|-1|1|3|-1.0|1|0|1|1|-1.0
17770696|M|0.0|0,0,0|0.0|2|0,0|-1|1|其他|-1|NA|NA|NA|NA|NA|2.0|1|1|1|0|2.0
16239079|M|0.0|0,0,0|-1.0|2|0,0|-1|1|人力资源/行政/后勤|NA|0|0,0|-1|0|5|2.0|1|0|1|1|2.0
25998472|M|1.0|0,0,0|0.0|2|0,0|1|1|计算机/互联网/IT|1|1|0,1|0|0|3|1.0|3|1|1|0|1.0
26346874|M|-1.0|0,0,0|-1.0|2|0,0|-1|1|财会/审计/统计|-1|0|0,0|-1|0|3|0.0|3|0|1|1|0.0
21661531|M|-1.0|0,0,0|0.0|3|0,0|0|0|高级管理|-1|0|0,0|0|NA|5|1.0|3|0|0|0|1.0
1581823|M|0.0|0,0,0|-1.0|3|0,0|1|1|交通/运输|-1|1|NA|0|NA|NA|0.0|NA|NA|NA|NA|0.0
61022070|M|-1.0|0,0,0|2.0|3|0,0|1|1|销售|-1|0|1,1|0|NA|3|2.0|3|-1|1|0|2.0
22717336|M|-1.0|0,0,0|0.0|3|0,0|0|1|医疗/护理|-1|0|0,1|-1|NA|5|0.0|3|1|1|0|0.0
82271950|M|-1.0|0,0,0|2.0|3|0,0|0|1|公务员/国家干部|1|1|0,0|-1|NA|3||1|0|1|0|-1.0
19560388|M|0.0|0,0,0|0.0|1|0,0|-1|0|计算机/互联网/IT|-1|0|1,0|0|0|5|1.0|3|0|0|-1|1.0
15955088|M|1.0|0,0,0|-1.0|2|0,0|0|1|教育/培训|-1|0|0,1|-1|0|5|0.0|1|0|0|0|0.0
49052044|M|-1.0|0,0,0|-1.0|3|0,0|0|1|医疗/护理|-1|0|NA|0|0|2|0.0|3|0|1|0|0.0
22682815|M|0.0|0,0,0|-1.0|3|0,0|-1|1|公务员/国家干部|-1|0|NA|NA|0|5||3|-1|1|0|-1.0
1749803|M|2.0|0,0,0|1.0|3|0,0|0|1|电子/半导体/仪表仪器|-1|0|0,1|0|0|5|2.0|3|-1|1|0|2.0
4902063|M|0.0|0,0,0|0.0|3|0,0|0|1|公关/商务|-1|0|1,0|1|0|5|2.0|1|0|0|-1|2.0
17827144|M|1.0|0,0,0|1.0|2|0,0|1|0|人力资源/行政/后勤|-1|1|0,0|0|NA|5|0.0|1|0|1|0|0.0
5006130|M|2.0|0,0,0|0.0|2|1,1|-1|1|医疗/护理|-1|1|1,1|0|0|5|2.0|1|0|-1|0|2.0
4977636|M|1.0|0,0,0|-1.0|1|0,0|-1|0|自由职业者|-1|0|NA|NA|0|3|0.0|1|0|0|0|0.0
25994188|M|-1.0|0,0,0|2.0|3|0,0|0|1|餐饮/旅游|NA|NA|0,0|NA|NA|5||3|1|NA|NA|-1.0
35628048|M|-1.0|0,0,0|2.0|4|0,0|1|1|在校学生|1|0|0,0|0|0|3|1.0|1|1|1|1|1.0
3696498|M|0.0|0,0,0|2.0|5|0,0|-1|1|在校学生|-1|0|NA|-1|NA|NA|1.0|NA|NA|NA|NA|1.0
