id|gender|age|height|edu|salary|nation|car|house|body|face|hair|smoke|drink|child|parent|bmi|where0|where1|marriage0|marriage1|look0|look1|where2
66367316|F|26|160|2|1|1|-1|0|0|0|5|3|1|1|1|22.5|0|-1|0|0|1|0|4
27151835|F|27|168|3|-1|1|0|0|0|1|3|0|0|1|0|-1.0|1|0|0|0|0|0|2
36462642|F|28|157|2|-1|1|-1|0|-1|0|2|1|0|1|1|23.0|0|-1|0|0|0|0|1
4068224|F|51|161|3|-1|1|-1|0|0|0|3|1|1|0|1|26.5|-1|1|1|1|0|0|1
20054165|F|25|166|2|0|1|-1|0|0|0|3|1|1|1|1|-1.0|1|0|0|0|0|0|2
4657097|F|34|160|2|0|1|-1|0|-1|0|5|3|1|1|0|23.0|1|0|0|0|0|0|3
4167567|F|38|158|3|-1|1|-1|1|0|0|0|1|0|0|0|26.0|-1|-1|1|1|0|0|1
23806853|F|29|169|2|0|1|-1|0|1|0|3|1|0|1|1|37.5|1|0|0|0|0|0|3
3364290|F|30|165|2|0|1|-1|0|0|0|5|1|1|1|0|26.5|1|0|0|0|1|0|2
53339421|F|26|170|3|0|0|0|0|-1|1|5|3|1|1|0|25.5|1|0|0|0|0|0|3
3937091|F|31|158|3|1|1|-1|1|-1|0|5|1|-1|1|0|20.5|0|-1|0|0|0|0|4
2799932|F|32|171|3|-1|1|-1|1|-1|1|5|-4|-1|0|-1|25.0|0|0|0|0|0|0|0
11860454|F|37|162|2|0|1|-1|0|-1|0|0|1|1|0|0|25.0|1|1|0|0|0|0|3
3169001|F|42|158|2|-1|1|-1|0|-1|0|5|1|-1|0|0|23.0|1|0|1|0|1|0|3
5110844|F|29|170|3|1|1|1|0|-1|0|5|3|-1|1|0|28.0|0|1|0|0|0|1|3
59172990|F|25|160|2|0|1|-1|0|-1|0|5|1|1|1|0|22.5|1|0|0|0|0|0|2
3386828|F|42|157|2|-1|1|-1|1|0|0|5|1|1|-1|-1|27.5|0|1|1|1|0|1|3
2285152|F|34|163|5|1|1|-1|0|0|0|5|3|1|1|0|27.5|0|0|0|0|1|0|0
1880226|F|28|156|3|-1|1|-1|0|0|0|0|0|0|0|0|22.5|-1|-1|0|0|0|0|1
1797963|F|31|163|3|0|1|-1|0|0|0|0|0|0|0|0|26.5|0|-1|0|0|0|0|4
3370581|F|42|165|2|1|1|-1|1|1|0|0|0|0|0|0|26.5|0|0|0|0|0|0|0
13560245|F|27|160|1|-1|1|-1|0|0|0|0|3|1|0|0|27.0|0|1|0|0|0|0|1
3384952|F|31|165|3|-1|1|-1|1|1|0|0|0|0|0|0|30.0|0|0|0|0|0|0|3
2647158|F|33|165|3|-1|1|0|0|0|0|0|0|0|0|0|-1.0|0|0|0|0|0|0|0
