id|gender_x|age_x|height_x|edu_x|salary_x|nation_x|car_x|house_x|body_x|face_x|hair_x|smoke_x|drink_x|child_x|parent_x|bmi_x|where0_x|where1_x|marriage0_x|marriage1_x|look0_x|look1_x|where2_x|gender_y|age_y|height_y|edu_y|salary_y|nation_y|car_y|house_y|body_y|face_y|hair_y|smoke_y|drink_y|child_y|parent_y|bmi_y|where0_y|where1_y|marriage0_y|marriage1_y|look0_y|look1_y|where2_y
40096241|F|28|168|3|0.0|1|-1|0|0.0|0|5|3|0|0|0|31.0|0|1|0|0|0|0|2|M|29|183|0|0|1|-1|1|0.0|0|-1|-2|-1|0|1|23.333333333333332|0|1|0|0|0|0|2
2809124|F|33|160|3|1.0|0|0|0|-1.0|0|0|0|0|0|0|22.5|1|0|0|0|0|0|3|M|34|175|0|1|1|-1|0|0.0|0|0|3|0|0|0|-1.0|1|0|0|0|0|0|3
19451255|F|29|168|2|0.0|1|0|0|-1.0|0|3|0|0|1|1|25.0|1|0|0|0|1|1|3|M|31|176|-1|1|1|-1|1|0.0|1|0|1|0|1|1|-1.0|1|0|0|0|1|1|3
4953097|F|30|163|3|-1.0|1|-1|0|-1.0|0|0|0|0|0|0|20.5|0|0|0|0|0|0|0|M|34|178|0|2|1|0|0|0.0|0|0|0|0|0|0|24.333333333333332|0|0|0|0|0|0|0
51445593|F|24|163|2|-1.0|1|0|0|-1.0|0|3|3|0|1|0|22.5|0|-1|0|0|0|0|1|M|25|170|0|0|0|0|0|0.0|0|0|0|0|0|0|-1.0|0|-1|0|0|0|0|1
1053465|F|35|162|3|0.0|1|-1|0|0.0|0|5|3|0|1|0|24.5|1|1|0|0|1|0|3|M|33|170|0|1|1|-1|0|0.0|0|0|-1|0|1|0|32.5|1|1|0|0|0|1|3
1126224|F|31|175|2|-1.0|1|0|0|0.0|0|0|0|0|0|0|18.333333333333332|0|0|0|0|0|0|0|M|51|174|0|3|1|1|1|-1.0|0|0|3|1|1|0|20.0|0|0|1|0|1|1|0
1244495|F|33|165|3|-1.0|1|-1|0|-1.0|0|0|0|0|0|0|23.5|1|0|0|0|0|0|1|M|41|170|0|0|1|-1|1|0.0|0|-1|1|0|1|0|29.0|1|0|0|0|0|1|1
4453803|F|27|159|1|-1.0|1|-1|0|0.0|0|3|3|0|1|0|24.0|0|-1|0|0|0|0|4|M|32|170|0|1|1|-1|1|0.0|1|0|-1|0|1|0|28.0|0|-1|0|0|1|1|3
33743219|F|30|161|3|0.0|1|-1|0|-1.0|0|5|3|0|1|-1|22.0|0|0|0|0|1|0|3|M|33|170|0|3|1|1|1|0.0|0|0|-4|0|1|1|30.0|0|0|0|0|1|1|3
2365160|F|25|158|3|0.0|1|0|0|0.0|0|5|3|1|1|1|21.0|0|0|0|0|0|0|3|M|28|169|-1|-1|1|-1|0|0.0|0|0|3|1|1|0|30.0|0|0|0|0|1|1|1
1869650|F|33|164|3|0.0|1|-1|0|0.0|0|5|1|1|1|0|27.5|1|0|0|0|0|0|3|M|40|165|-1|3|1|1|1|0.0|0|0|0|0|1|0|27.5|1|0|0|0|0|1|3
3344540|F|28|168|2|0.0|1|-1|0|0.0|0|5|3|1|0|-1|26.0|0|0|0|0|0|0|0|M|28|179|-1|0|1|-1|0|0.0|0|-1|-1|0|1|0|21.666666666666668|0|0|0|0|1|1|0
3059005|F|27|160|3|-1.0|0|1|0|0.0|0|5|1|0|1|0|22.5|1|1|0|0|0|1|3|M|31|182|-1|0|0|1|1|-1.0|1|0|-5|-1|1|-1|21.666666666666668|1|1|0|0|1|1|3
2996071|F|27|161|1|1.0|1|-1|0|-1.0|0|5|1|0|1|0|22.5|0|-1|0|0|0|0|4|M|35|167|0|0|1|-1|0|0.0|0|0|1|0|1|0|28.5|0|-1|0|0|1|1|4
27396022|F|25|160|1|-1.0|1|-1|0|0.0|0|5|-1|0|1|0|25.0|1|0|0|0|0|0|1|M|32|170|-2|1|1|-1|0|0.0|1|0|-2|-1|0|1|27.0|1|0|0|0|0|0|1
5008534|F|30|160|2|0.0|1|0|0|0.0|0|3|0|0|1|1|-1.0|0|-1|0|0|0|0|4|M|32|170|0|2|1|1|1|0.0|1|0|0|0|1|0|-1.0|0|-1|0|0|0|1|4
3100829|F|32|159|2|0.0|1|-1|1|-1.0|0|5|1|0|1|1|23.0|1|0|0|0|1|1|3|M|34|168|0|1|1|-1|1|2.0|0|0|1|0|1|0|31.0|1|0|0|0|1|1|3
