id|gender|age|height|edu|salary|nation|car|house|body|face|hair|smoke|drink|child|parent|bmi|where0|where1|marriage0|marriage1|look0|look1|where2
19268838|M|29|182|0|0|0|1|0|2|0|-1|1|0|1|0|30.0|0|1|0|0|1|1|1
41385776|M|31|180|0|0|1|-1|1|2|0|0|-4|1|1|-1|36.666666666666664|1|1|0|0|0|0|3
19283056|M|28|177|0|1|1|-1|0|0|0|0|1|0|1|0|24.0|0|0|0|0|1|1|0
26579391|M|29|173|0|0|1|-1|1|2|0|0|-1|0|1|1|35.0|-1|-1|0|0|0|1|1
18335080|M|59|173|0|1|1|1|1|0|0|0|3|1|-1|1|34.0|1|0|1|1|1|1|2
3550405|M|35|170|2|1|0|0|0|0|0|0|0|0|0|0|-1.0|1|0|0|0|0|0|3
49606578|M|33|183|0|0|1|-1|1|-1|0|0|1|-1|1|0|46.666666666666664|-1|1|0|0|0|0|1
3047996|M|35|170|-1|0|1|-1|0|0|0|0|-1|-1|1|0|28.5|1|0|0|0|0|0|1
19503211|M|32|170|-1|0|1|-1|1|0|0|0|1|1|1|0|32.5|0|1|0|0|1|1|3
24139006|M|27|171|-1|0|1|-1|0|-1|1|-1|3|1|1|0|30.0|1|0|0|0|0|0|1
39046259|M|41|165|-2|0|1|-1|1|2|0|0|-1|-1|1|0|29.0|0|-1|0|0|0|1|1
14169056|M|31|176|0|0|1|-1|0|0|0|0|1|1|1|0|23.333333333333332|1|0|0|0|0|0|3
31228537|M|30|176|0|1|1|-1|0|2|1|0|-1|0|1|0|-1.0|-1|-1|0|0|0|1|1
27093271|M|38|173|-2|0|1|-1|0|0|1|-1|-5|0|1|1|30.0|0|1|1|0|0|1|1
1105779|M|33|162|0|0|1|-1|0|2|0|0|3|0|1|0|30.0|1|0|0|0|0|1|3
33499432|M|28|176|0|1|1|-1|0|0|1|0|3|0|1|1|22.666666666666668|0|0|0|0|1|1|0
3621164|M|38|179|0|-1|1|1|1|2|0|0|1|0|1|0|24.333333333333332|0|0|0|0|0|0|0
10625632|M|34|170|2|1|0|0|0|0|0|0|0|0|0|0|32.5|0|0|0|0|0|0|0
12260223|M|33|130|0|0|1|-1|1|2|1|0|-1|-1|1|0|62.0|0|0|0|0|1|1|1
111504489|M|25|170|-1|2|1|-1|1|2|0|0|-1|0|1|0|40.0|1|0|0|0|0|0|3
5413761|M|26|170|0|0|1|-1|1|0|0|0|1|0|0|0|29.0|0|-1|0|0|1|1|4
1208010|M|56|173|2|2|1|0|1|0|0|-1|-4|1|-1|0|36.0|0|0|1|1|1|1|0
3004717|M|32|183|0|0|1|1|0|2|0|-1|0|0|0|0|26.0|1|0|0|0|0|0|3
3779261|M|34|172|0|0|1|-1|1|0|0|0|-1|0|1|1|29.5|-1|1|0|0|1|1|2
2409773|M|40|180|3|-1|1|-1|1|2|1|0|3|0|0|0|25.666666666666668|0|0|1|1|0|0|1
7778880|M|31|175|-1|0|1|-1|0|0|0|0|-1|0|1|0|23.333333333333332|1|0|0|0|0|0|2
21718504|M|56|170|-1|0|1|1|1|2|0|0|3|-1|0|0|39.0|1|0|1|1|0|0|1
12124020|M|49|172|0|3|1|1|1|0|0|-1|-4|0|0|0|33.0|0|0|1|1|1|1|0
